City Name,Country,Lat,Lng,Cloudiness,Humidity,Max Temp,Wind Speed,Date
Dudinka,RU,69.41,86.18,20,77,1.4,17.9,1579827105
Tres Picos,MX,15.87,-93.53,1,73,67.78,2.68,1579827106
Portland,US,45.52,-122.68,90,93,55.99,3.36,1579826877
Emerald,AU,-23.53,148.17,75,58,88.0,10.29,1579827106
Evensk,RU,61.95,159.23,78,74,-19.03,9.22,1579827007
Zhangjiakou,CN,40.81,114.88,0,67,8.6,1.25,1579827106
Manama,BH,26.22,50.58,20,67,57.2,13.87,1579827106
Plettenberg Bay,ZA,-34.05,23.37,0,84,65.12,3.89,1579827106
Palu,ID,-0.89,119.87,17,78,72.86,2.26,1579827106
Malbork,PL,54.04,19.03,75,93,39.99,18.34,1579827106
Mergen,CN,49.18,125.22,0,72,-12.33,3.74,1579827107
Qax,AZ,41.42,46.92,75,69,35.6,4.7,1579827107
Toumodi,CI,6.56,-5.02,11,88,71.6,3.6,1579827107
Port Blair,IN,11.67,92.75,42,76,79.7,13.04,1579827107
Kavaratti,IN,10.57,72.64,13,74,81.77,8.25,1579827107
Airai,TL,-8.93,125.41,48,67,75.97,1.68,1579826904
Ruidoso,US,33.33,-105.67,1,48,57.2,9.17,1579826843
Mirny,RU,62.54,113.96,90,58,-38.2,3.47,1579827107
Urubicha,BO,-15.38,-62.95,68,51,79.95,2.44,1579827108
Puerto Narino,CO,-3.77,-70.38,75,100,78.8,2.24,1579827108
Aykino,RU,62.22,49.99,100,91,13.17,8.57,1579826980
Inuvik,CA,68.35,-133.72,90,76,-9.4,3.36,1579827108
Grajau,BR,-5.82,-46.14,99,94,73.71,4.27,1579827108
Atasu,KZ,48.68,71.64,100,81,25.74,14.43,1579827108
Guantanamo,CU,20.14,-75.21,20,78,73.4,5.82,1579827108
Whitehorse,CA,60.72,-135.05,75,85,10.4,5.82,1579827108
Caluquembe,AO,-13.78,14.68,100,95,60.91,3.24,1579827109
Governador Valadares,BR,-18.85,-41.95,100,98,71.69,4.03,1579827030
Cartagena,CO,10.4,-75.51,20,83,80.6,8.05,1579827109
Tuatapere,NZ,-46.13,167.68,82,39,80.6,6.44,1579826922
Waiouru,NZ,-39.48,175.67,20,33,76.78,5.57,1579827109
College,US,64.86,-147.8,90,76,-5.8,3.36,1579827109
Mocuba,MZ,-16.84,36.99,34,97,70.27,3.4,1579827109
Bambanglipuro,ID,-7.95,110.28,0,83,78.6,2.62,1579827109
Taft,IR,31.75,54.21,0,64,33.8,4.7,1579827109
Ust-Nera,RU,64.57,143.2,100,99,-39.33,0.85,1579827110
Shouguang,CN,36.88,118.74,98,73,36.0,7.47,1579827110
Plouzane,FR,48.38,-4.62,90,93,41.0,11.41,1579827110
Jesus Carranza,MX,17.43,-95.03,11,90,73.96,8.14,1579827110
Takestan,IR,36.07,49.7,0,74,26.78,6.93,1579827110
Kemin,KG,42.78,75.69,0,38,25.18,12.88,1579827110
Falavarjan,IR,32.56,51.51,0,73,21.2,4.5,1579827110
Opuwo,NA,-18.06,13.84,96,41,71.37,8.28,1579827110
Fare,PF,-16.7,-151.02,2,74,82.76,10.87,1579827111
La Providencia,MX,28.72,-111.58,0,55,75.99,1.99,1579827111
Calvillo,MX,21.85,-102.72,40,27,66.2,5.82,1579827111
Batagay-Alyta,RU,67.8,130.41,9,68,-35.09,2.08,1579827111
Fairview,US,40.81,-74.0,1,41,41.0,2.51,1579827111
Los Llanos de Aridane,ES,28.66,-17.92,59,62,59.0,9.17,1579827111
Flinders,AU,-34.58,150.86,75,60,81.0,10.29,1579827111
Borogontsy,RU,62.67,131.17,100,98,-31.94,4.23,1579827112
Moree,AU,-29.47,149.85,40,74,78.8,6.93,1579827112
Gurlan,UZ,41.84,60.39,53,80,35.6,4.7,1579827112
Saint George,US,37.1,-113.58,1,46,59.0,4.7,1579826904
Shingu,JP,33.73,135.98,75,87,53.6,4.7,1579827094
Vila Velha,BR,-20.33,-40.29,90,94,79.0,11.41,1579826848
Skelleftea,SE,64.75,20.95,93,80,34.0,14.99,1579826938
Angola,AO,-12.5,18.5,100,96,62.56,0.81,1579827113
Harlingen,US,26.19,-97.7,75,52,77.0,4.7,1579827113
Ayan,RU,56.45,138.17,99,74,-10.14,3.31,1579827113
Rocha,UY,-34.48,-54.33,0,85,66.4,11.16,1579827026
Capao da Canoa,BR,-29.75,-50.01,20,76,73.4,21.45,1579827113
Bilibino,RU,68.05,166.44,1,100,-39.21,1.3,1579827113
Parabel,RU,58.7,81.48,100,93,29.17,12.12,1579827114
Badarganj,BD,25.67,89.05,50,64,54.46,4.43,1579827004
Vinca,FR,42.65,2.53,5,93,51.8,5.82,1579827114
Phalia,PK,32.43,73.58,0,37,44.1,3.42,1579827114
Praia da Vitoria,PT,38.73,-27.07,75,93,53.6,9.37,1579827114
Ambulu,ID,-8.35,113.61,3,77,80.67,4.68,1579827114
Mangrol,IN,21.12,70.12,33,51,70.43,15.32,1579827115
Forsytheganj,BY,52.63,29.73,97,80,31.41,12.48,1579827115
Esperance,AU,-33.87,121.9,90,77,66.2,9.17,1579826982
Toccoa,US,34.58,-83.33,90,75,46.99,7.76,1579827115
Tezpur,IN,26.63,92.8,86,92,52.84,2.8,1579827115
Domoni,KM,-12.26,44.53,100,82,81.5,17.85,1579827115
Marshfield,US,44.67,-90.17,90,86,30.2,8.05,1579826883
Caxito,AO,-8.58,13.66,100,85,79.23,1.83,1579827115
Gonaives,HT,19.45,-72.68,70,87,64.54,4.5,1579827116
Shenjiamen,CN,29.96,122.3,95,87,51.91,18.43,1579827116
Roebourne,AU,-20.78,117.13,1,50,86.49,2.91,1579827116
Arman,RU,59.7,150.17,0,85,-12.87,7.05,1579827116
Ozernovskiy,RU,51.5,156.52,22,81,18.54,3.29,1579827116
Nadym,RU,65.53,72.52,100,96,9.18,10.02,1579827116
Tevaitoa,PF,-16.78,-151.5,74,73,82.9,9.22,1579827116
Comodoro Rivadavia,AR,-45.87,-67.5,100,28,71.6,21.92,1579827103
Muros,ES,42.78,-9.06,97,93,54.0,1.12,1579827117
Redcliffe,AU,-27.23,153.1,40,79,91.99,17.22,1579827117
San Miguel de Tucuman,AR,-26.82,-65.22,3,65,82.4,2.44,1579827107
Riyadh,SA,24.69,46.72,0,52,44.6,6.93,1579827082
Port-Cartier,CA,50.03,-66.87,75,74,30.2,6.93,1579827117
Bousse,BF,12.66,-1.89,81,22,78.8,5.82,1579827117
Isangel,VU,-19.55,169.27,75,70,84.2,16.11,1579827118
Kaeo,NZ,-35.1,173.78,2,65,87.01,1.01,1579827004
Borzya,RU,50.38,116.52,17,92,-16.47,1.81,1579827118
Beltangadi,IN,13.98,75.3,0,75,65.41,5.66,1579827118
Cameta,BR,-2.24,-49.5,56,97,75.56,4.83,1579826965
Oleksandrivka,UA,48.96,32.23,71,83,29.12,9.35,1579827118
Garden City,US,42.33,-83.33,90,69,35.6,3.36,1579827118
Nizwa,OM,22.93,57.53,7,84,55.36,0.27,1579827118
Ulladulla,AU,-35.35,150.47,75,60,78.01,10.29,1579827119
Caucaia,BR,-3.74,-38.65,40,74,84.2,12.75,1579827119
Limanowa,PL,49.71,20.42,31,100,28.0,2.24,1579827119
Ginir,ET,7.13,40.7,100,43,63.93,2.98,1579827119
Lucena,PH,13.93,121.62,88,86,78.01,5.99,1579827119
Morondava,MG,-20.28,44.28,100,92,74.26,1.19,1579827029
Kingisepp,RU,59.37,28.61,100,83,35.22,9.53,1579827119
Mahibadhoo,MV,3.78,72.97,33,83,82.71,18.43,1579827119
Williamsburg,US,37.27,-76.71,1,80,42.8,5.32,1579827119
Akdepe,TM,42.06,59.38,43,85,30.2,2.24,1579827120
Santiago del Estero,AR,-27.8,-64.26,0,40,80.44,10.29,1579827120
Nchelenge,ZM,-9.35,28.73,100,81,71.67,2.55,1579827120
Port Lincoln,AU,-34.73,135.87,16,58,66.58,11.27,1579826887
Mahebourg,MU,-20.41,57.7,75,94,80.01,12.68,1579827121
Bichena,ET,10.45,38.2,99,64,53.74,0.18,1579827121
Haldwani,IN,29.22,79.52,10,87,44.89,7.67,1579827121
Okha,RU,53.57,142.95,88,94,-5.46,3.65,1579827121
Perth,AU,-31.93,115.83,0,53,78.01,11.41,1579827003
Guaymas,MX,27.93,-110.9,5,68,75.0,11.41,1579826870
Sabzevar,IR,36.21,57.68,0,77,34.63,5.97,1579827121
Viedma,AR,-40.81,-63.0,22,65,72.91,16.6,1579827122
Baie-Comeau,CA,49.22,-68.15,90,64,33.8,12.75,1579826996
Saint-Augustin,CA,51.23,-58.65,100,87,25.95,16.42,1579827122
Ust'-Koksa,RU,50.27,85.61,100,89,12.88,14.58,1579827122
Ixtapa,MX,20.7,-105.2,5,74,78.8,6.93,1579827122
Jinxiang,CN,22.86,115.7,30,87,72.0,1.86,1579827122
Dao,PH,11.39,122.69,69,92,77.16,6.08,1579827122
Praia,CV,14.92,-23.51,34,73,71.6,17.22,1579827117
Adrar,MR,20.5,-10.07,100,20,68.86,8.28,1579827123
Waipawa,NZ,-41.41,175.52,54,73,71.6,19.46,1579827073
Klaksvik,FO,62.23,-6.59,52,69,39.2,26.4,1579827002
Boguchany,RU,58.38,97.45,95,96,4.39,4.21,1579827123
Conceicao do Araguaia,BR,-8.26,-49.26,100,96,74.08,2.04,1579826921
General Bravo,MX,25.8,-99.17,0,31,74.16,9.44,1579827123
Tual,ID,-5.67,132.75,12,78,83.57,15.08,1579826913
Astoria,US,46.19,-123.83,90,87,53.6,20.8,1579826908
Manicore,BR,-5.81,-61.3,100,86,77.32,1.19,1579827123
Olafsvik,IS,64.89,-23.71,100,64,30.74,42.05,1579826888
Maragogi,BR,-9.01,-35.22,98,79,82.04,14.14,1579827124
Belyy Yar,RU,53.6,91.39,100,85,14.0,2.24,1579827124
Antalaha,MG,-14.9,50.28,100,81,80.24,4.5,1579827124
Punakha,BT,27.58,89.86,83,60,24.4,2.24,1579827124
Arrondissement de Provins,FR,48.58,3.17,69,92,32.0,3.36,1579827124
Big Spring,US,32.25,-101.48,1,43,52.0,4.7,1579827124
Lieksa,FI,63.32,30.02,100,97,32.72,9.4,1579827124
Makakilo City,US,21.35,-158.09,1,61,81.0,6.93,1579827095
Almetyevsk,RU,54.9,52.32,88,97,8.11,5.61,1579827125
Buala,SB,-8.14,159.59,0,63,86.31,5.93,1579826929
Yazman,PK,29.12,71.74,99,48,56.07,4.41,1579827125
Price,US,39.6,-110.81,1,74,39.99,3.36,1579827125
Muncar,ID,-8.43,114.33,10,77,80.8,3.53,1579827125
Bandarbeyla,SO,9.49,50.81,99,83,77.54,17.76,1579827125
Kapenguria,KE,1.25,35.09,100,65,59.11,1.72,1579827125
Pemangkat,ID,1.17,108.97,85,87,76.41,7.76,1579827126
Auki,SB,-8.77,160.7,0,66,84.34,7.63,1579827126
Tigil,RU,57.8,158.67,13,81,-7.53,2.04,1579826828
Prince Rupert,CA,54.32,-130.32,100,87,44.73,11.92,1579827126
